TOWEEKLY: credMVFullIdx
dates 	IGWDAAA 	IGWDAA 	IGWDA 	IGWDBBB 	IGUSDAAA 	IGUSDAA 	IGUSDA 	IGUSDBBB 	IGGBPAAA 	IGGBPAA 	IGGBPA 	IGGBPBBB 	IGEURAAA 	IGEURAA 	IGEURA 	IGEURBBB 	IGShortUSDAAA 	IGShortUSDAA 	IGShortUSDA 	IGShortUSDBBB 	IGShortGBPAAA 	IGShortGBPAA 	IGShortGBPA 	IGShortGBPBBB 	IGShortEURAAA 	IGShortEURAA 	IGShortEURA 	IGShortEURBBB 	HYWDBB 	HYWDB 	HYWDCCC_C 	HYUSDBB 	HYUSDB 	HYUSDCCC_C 	HYGBPBB 	HYGBPB 	HYGBPCCC_C 	HYEURBB 	HYEURB 	HYEURCCC_C
24-Sep-2010 	244455.900000 	1641986.318000 	2998769.448000 	2057495.693000 	41023.703000 	581499.563000 	1461061.875000 	1316659.375000 	11405.269000 	54174.908000 	151711.851000 	85133.668000 	91545.155000 	405409.066000 	732964.585000 	351007.606000 	21504.803000 	313998.507000 	543735.170000 	402756.782000 	4628.299000 	13821.025000 	29944.115000 	16097.769000 	48808.058000 	243686.069000 	464401.021000 	210353.156000 	556602.747000 	433494.026000 	177458.785000 	421673.591000 	379525.498000 	159828.200000 	11534.445000 	4383.335000 	775.641000 	84318.422000 	34294.197000 	12026.717000
01-Oct-2010 	255405.680000 	1691997.317000 	3045953.547000 	2096912.114000 	45853.867000 	599616.125000 	1485381.125000 	1343895.125000 	11621.408000 	56216.941000 	152882.179000 	86064.757000 	92602.083000 	410895.364000 	731004.255000 	351737.237000 	24227.651000 	330501.135000 	561002.849000 	403514.986000 	5911.861000 	13688.842000 	30531.816000 	16610.967000 	48836.367000 	246030.859000 	461044.577000 	208870.485000 	567598.477000 	441733.803000 	173426.530000 	433319.760000 	386172.396000 	156822.361000 	11647.737000 	3647.551000 	888.931000 	82019.276000 	35505.987000 	10890.033000
08-Oct-2010 	258700.648000 	1714613.240000 	3082619.939000 	2122121.703000 	46143.480000 	603923.188000 	1496443.000000 	1355403.875000 	11671.779000 	56551.345000 	153791.468000 	86925.588000 	92912.430000 	412246.460000 	733831.784000 	353805.718000 	24372.897000 	332169.604000 	563803.352000 	405587.490000 	5924.769000 	13715.601000 	30592.761000 	16668.054000 	48954.633000 	246668.632000 	462540.567000 	209850.907000 	574587.779000 	446669.814000 	176220.142000 	437172.092000 	389810.556000 	158940.512000 	11842.640000 	3685.279000 	902.778000 	82827.320000 	35879.242000 	11204.162000
15-Oct-2010 	258913.972000 	1712928.471000 	3070437.872000 	2114542.074000 	45681.621000 	597667.563000 	1478077.750000 	1343618.125000 	11635.670000 	56125.793000 	153163.588000 	86893.254000 	92741.666000 	411771.316000 	733162.855000 	354056.381000 	24337.071000 	331611.596000 	562680.299000 	405250.649000 	5927.813000 	13727.848000 	30645.234000 	16695.556000 	48957.954000 	246726.218000 	462585.394000 	210078.382000 	577153.605000 	448519.213000 	177909.974000 	438248.888000 	391153.917000 	160322.254000 	11936.326000 	3702.893000 	905.596000 	83237.319000 	35993.041000 	11352.029000
22-Oct-2010 	256884.942000 	1704611.681000 	3058044.443000 	2112118.013000 	45843.141000 	599755.438000 	1484138.375000 	1349843.375000 	11628.613000 	56183.730000 	153253.847000 	87105.057000 	92219.168000 	409586.931000 	729488.325000 	352564.573000 	24381.358000 	332110.991000 	563492.613000 	405857.396000 	5935.787000 	13758.419000 	30723.176000 	16739.930000 	48795.848000 	245807.461000 	460825.222000 	209370.655000 	577164.717000 	449002.880000 	177931.180000 	439426.292000 	392109.009000 	160502.122000 	11909.747000 	3695.638000 	906.054000 	83268.046000 	35980.983000 	11333.258000
29-Oct-2010 	257011.327000 	1708963.749000 	3063664.653000 	2116159.636000 	45785.543000 	600591.625000 	1485222.875000 	1351216.500000 	11564.753000 	55776.842000 	152457.425000 	86797.733000 	92159.039000 	409371.972000 	729671.809000 	352827.234000 	24399.690000 	332613.227000 	564161.500000 	406560.330000 	5918.747000 	13736.913000 	30697.795000 	16742.354000 	48767.338000 	245820.174000 	461141.710000 	209579.555000 	579663.626000 	451402.635000 	179476.420000 	441457.839000 	394466.700000 	161886.911000 	11934.129000 	3708.267000 	921.285000 	83431.027000 	35970.125000 	11430.348000
05-Nov-2010 	262517.612000 	1737243.508000 	3114904.425000 	2149189.373000 	48914.016000 	608857.813000 	1510646.250000 	1363068.125000 	11609.931000 	55280.241000 	153448.020000 	85392.282000 	93485.591000 	416044.390000 	736874.583000 	364154.558000 	27139.413000 	340781.444000 	576324.168000 	408473.892000 	5919.009000 	13676.187000 	30356.964000 	17592.849000 	49451.475000 	250388.361000 	463314.273000 	213023.871000 	579466.420000 	474254.489000 	182855.624000 	434232.647000 	410277.626000 	165186.835000 	13012.417000 	3987.349000 	957.376000 	86195.578000 	40264.963000 	11319.862000
12-Nov-2010 	257175.127000 	1706693.087000 	3059539.331000 	2113949.462000 	48395.234000 	603368.500000 	1495066.000000 	1347943.750000 	11470.514000 	54286.146000 	150533.930000 	83990.162000 	92980.331000 	414113.989000 	732882.465000 	361583.565000 	26929.788000 	338652.854000 	573089.737000 	406210.844000 	5877.264000 	13576.427000 	30152.721000 	17358.845000 	49337.235000 	249857.310000 	461729.881000 	211925.265000 	572553.039000 	471485.175000 	180867.139000 	432118.155000 	409296.940000 	164185.574000 	12686.531000 	3968.160000 	880.922000 	85227.249000 	39974.851000 	10966.822000
19-Nov-2010 	255037.721000 	1690993.744000 	3036894.149000 	2099960.374000 	48218.504000 	600644.000000 	1488634.500000 	1341364.375000 	11389.713000 	53739.085000 	149367.287000 	83390.134000 	92349.970000 	411806.896000 	729667.530000 	360350.981000 	26868.354000 	337676.344000 	571727.069000 	405055.840000 	5863.927000 	13554.702000 	30131.083000 	17339.077000 	49212.172000 	249314.218000 	461089.361000 	211895.318000 	568174.166000 	468666.039000 	179691.236000 	428789.726000 	406607.602000 	163050.291000 	12551.957000 	3986.144000 	909.270000 	85078.162000 	40041.234000 	10951.530000
26-Nov-2010 	250152.058000 	1666249.789000 	2996303.760000 	2078817.860000 	48313.031000 	601045.625000 	1490036.500000 	1343121.875000 	11413.159000 	53719.324000 	148773.217000 	82837.565000 	92221.213000 	410827.954000 	727744.167000 	358286.573000 	26886.007000 	337613.560000 	571682.275000 	405204.698000 	5873.961000 	13567.957000 	30101.930000 	17166.682000 	49274.634000 	249237.617000 	460832.595000 	211160.788000 	560018.393000 	464025.542000 	177692.692000 	427181.197000 	404645.692000 	162117.686000 	12199.899000 	3955.669000 	843.944000 	83726.735000 	39501.526000 	10613.449000
