dates 	IGWDAll 	IGUSDAll 	IGGBPAll 	IGEURAll 	IGShortUSDAll 	IGShortGBPAll 	IGShortEURAll 	HYWDAll 	HYUSDAll 	HYEURAll
23-Jul-1999 	-0.000110 	0.000040 	-0.000560 	-0.001230 	NaN 	NaN 	NaN 	0.001790 	0.001890 	-0.009790
30-Jul-1999 	-0.002360 	-0.004950 	0.000040 	0.000890 	NaN 	NaN 	NaN 	-0.001850 	-0.001870 	-0.006100
06-Aug-1999 	0.000050 	-0.000050 	0.001590 	-0.000250 	NaN 	NaN 	NaN 	-0.004520 	-0.004460 	-0.005750
13-Aug-1999 	-0.002040 	-0.001620 	-0.003850 	-0.005010 	NaN 	NaN 	NaN 	-0.001690 	-0.001260 	-0.017120
20-Aug-1999 	0.000900 	0.000870 	0.001580 	0.002300 	NaN 	NaN 	NaN 	-0.003630 	-0.004130 	0.008890
27-Aug-1999 	0.000310 	0.000120 	-0.000370 	0.000720 	NaN 	NaN 	NaN 	-0.000610 	-0.000810 	0.006080
03-Sep-1999 	-0.001360 	-0.001650 	-0.002030 	-0.000770 	NaN 	NaN 	NaN 	-0.003200 	-0.003660 	0.009730
10-Sep-1999 	0.000300 	0.000150 	0.001540 	0.000400 	NaN 	NaN 	NaN 	-0.000940 	-0.001340 	0.004380
17-Sep-1999 	0.000820 	0.001630 	-0.000260 	0.001150 	NaN 	NaN 	NaN 	-0.001870 	-0.001530 	-0.007410
24-Sep-1999 	-0.000340 	-0.000070 	-0.000440 	-0.000750 	NaN 	NaN 	NaN 	-0.007490 	-0.007780 	-0.002710
01-Oct-1999 	0.001400 	0.001730 	0.002940 	0.001270 	NaN 	NaN 	NaN 	0.005580 	0.005460 	0.010860
08-Oct-1999 	-0.000010 	-0.000140 	-0.001460 	-0.000060 	NaN 	NaN 	NaN 	0.003320 	0.003490 	0.004180
15-Oct-1999 	0.001650 	0.003910 	-0.001520 	-0.000230 	NaN 	NaN 	NaN 	0.002060 	0.001650 	0.010870
22-Oct-1999 	-0.000870 	-0.002060 	-0.000990 	-0.001060 	NaN 	NaN 	NaN 	0.001210 	0.001280 	-0.003740
29-Oct-1999 	-0.000070 	0.000140 	-0.002180 	-0.000260 	NaN 	NaN 	NaN 	-0.012260 	-0.012620 	-0.004030
05-Nov-1999 	0.000750 	0.001220 	0.001110 	-0.001130 	NaN 	NaN 	NaN 	0.002110 	0.002420 	-0.003210
12-Nov-1999 	0.000700 	0.001940 	-0.001930 	-0.000240 	NaN 	NaN 	NaN 	0.002270 	0.001730 	0.014700
19-Nov-1999 	0.000050 	-0.001180 	0.000340 	0.002330 	NaN 	NaN 	NaN 	0.005660 	0.005550 	0.009060
26-Nov-1999 	0.000420 	0.000230 	-0.000260 	0.001240 	NaN 	NaN 	NaN 	0.003880 	0.003860 	0.007600
03-Dec-1999 	0.000360 	0.001280 	0.000130 	-0.001150 	NaN 	NaN 	NaN 	0.002490 	0.002310 	0.007520
10-Dec-1999 	0.000170 	0.000370 	-0.000280 	-0.000260 	NaN 	NaN 	NaN 	0.001040 	0.001580 	-0.008490
17-Dec-1999 	0.000440 	0.000430 	0.001260 	0.000610 	NaN 	NaN 	NaN 	0.007420 	0.007190 	0.012530
23-Dec-1999 	0.000580 	0.000840 	-0.000420 	0.000340 	NaN 	NaN 	NaN 	0.003470 	0.003550 	0.000430
31-Dec-1999 	0.001500 	0.001970 	0.001200 	0.001070 	NaN 	NaN 	NaN 	0.000680 	0.000430 	0.005690
07-Jan-2000 	-0.003600 	-0.004930 	-0.002930 	-0.003630 	NaN 	NaN 	NaN 	-0.016990 	-0.016780 	-0.026310
14-Jan-2000 	0.001000 	0.000900 	0.003540 	0.000790 	NaN 	NaN 	NaN 	0.005120 	0.005220 	0.005450
21-Jan-2000 	0.000310 	0.000520 	-0.001010 	0.000530 	NaN 	NaN 	NaN 	0.002550 	0.002420 	0.005490
28-Jan-2000 	0.000490 	0.001110 	0.000250 	0.000260 	NaN 	NaN 	NaN 	-0.001780 	-0.002290 	0.006210
04-Feb-2000 	-0.000400 	-0.000230 	-0.001070 	-0.001170 	0.000410 	NaN 	0.000510 	-0.001780 	-0.001250 	-0.009360
11-Feb-2000 	-0.001220 	-0.002780 	-0.001960 	0.000360 	0.000000 	NaN 	0.000000 	0.004280 	0.004330 	0.006560
18-Feb-2000 	-0.000240 	-0.000120 	-0.000300 	-0.000230 	0.000000 	NaN 	0.000000 	-0.003390 	-0.003600 	0.000690
25-Feb-2000 	-0.000180 	-0.000630 	0.000580 	0.000130 	0.000000 	NaN 	0.000000 	-0.006340 	-0.006620 	-0.001030
03-Mar-2000 	-0.003110 	-0.007160 	0.000420 	0.000330 	0.000690 	NaN 	-0.000410 	-0.000780 	-0.001130 	0.001840
10-Mar-2000 	0.000220 	0.000720 	-0.000800 	-0.001730 	0.000000 	NaN 	0.000000 	0.001020 	0.000330 	0.013080
17-Mar-2000 	-0.000950 	-0.001890 	0.000110 	0.000620 	0.000000 	NaN 	0.000000 	-0.010800 	-0.011160 	-0.006220
24-Mar-2000 	0.000490 	0.000690 	0.000640 	0.000610 	0.000000 	NaN 	0.000000 	-0.001930 	-0.001400 	-0.012570
31-Mar-2000 	-0.004510 	-0.008470 	-0.001150 	-0.001300 	-0.002710 	NaN 	-0.000670 	-0.017440 	-0.017860 	-0.016220
07-Apr-2000 	-0.000600 	-0.001150 	-0.000670 	-0.000110 	-0.001820 	NaN 	-0.000060 	-0.006040 	-0.006370 	0.000250
14-Apr-2000 	-0.001730 	-0.003590 	-0.000590 	0.000200 	-0.001340 	NaN 	0.000200 	0.000730 	0.000540 	0.004240
20-Apr-2000 	0.000480 	0.000750 	-0.000830 	-0.000180 	0.001140 	NaN 	-0.000480 	0.002070 	0.002520 	-0.008260
28-Apr-2000 	-0.002090 	-0.004440 	-0.002880 	-0.000150 	-0.001310 	NaN 	-0.000070 	0.007270 	0.007770 	0.002110
05-May-2000 	-0.000170 	-0.000130 	-0.002410 	0.000210 	-0.000190 	NaN 	0.000340 	0.006290 	0.006070 	0.009640
12-May-2000 	-0.001180 	-0.001700 	-0.001320 	-0.000410 	-0.001590 	NaN 	0.000010 	-0.002400 	-0.002060 	-0.011090
19-May-2000 	-0.001230 	-0.002350 	-0.000460 	-0.000020 	-0.000520 	NaN 	0.000100 	-0.006520 	-0.005830 	-0.019730
26-May-2000 	-0.002120 	-0.002910 	-0.002770 	-0.003570 	-0.000180 	NaN 	-0.002610 	-0.013490 	-0.012690 	-0.029060
02-Jun-2000 	-0.001250 	-0.001470 	-0.002870 	-0.002420 	-0.000670 	NaN 	-0.001900 	-0.003000 	-0.003830 	0.013410
09-Jun-2000 	0.002230 	0.003980 	0.000350 	0.001900 	0.001210 	NaN 	0.001610 	0.005640 	0.005610 	0.008460
16-Jun-2000 	0.000790 	0.002070 	-0.001330 	-0.000940 	0.000550 	NaN 	-0.000910 	-0.003300 	-0.003560 	0.002460
23-Jun-2000 	0.000820 	0.001420 	-0.001440 	0.001280 	0.000190 	NaN 	0.001070 	0.010110 	0.010480 	0.005050
30-Jun-2000 	-0.000580 	-0.000600 	-0.000290 	-0.001130 	-0.000930 	NaN 	-0.000750 	-0.006940 	-0.006510 	-0.014900
07-Jul-2000 	0.000460 	0.000320 	0.001930 	0.001470 	0.000040 	NaN 	0.000830 	-0.001170 	-0.001200 	-0.000420
14-Jul-2000 	0.001080 	0.001360 	0.004310 	0.000760 	0.000790 	NaN 	0.000930 	0.006300 	0.006140 	0.005180
21-Jul-2000 	0.000770 	0.001350 	0.000870 	-0.000060 	0.000210 	NaN 	0.000110 	-0.001770 	-0.001710 	-0.003090
28-Jul-2000 	0.000250 	0.000240 	0.001810 	-0.000400 	0.001370 	NaN 	-0.000610 	-0.003200 	-0.002820 	-0.013540
04-Aug-2000 	-0.000730 	-0.000690 	-0.002130 	-0.001080 	-0.000360 	NaN 	-0.000800 	-0.007310 	-0.006860 	-0.019270
11-Aug-2000 	0.000290 	0.000210 	0.000840 	-0.000300 	0.000690 	NaN 	0.000250 	0.002950 	0.002740 	0.007410
18-Aug-2000 	0.001480 	0.003040 	0.000120 	0.000720 	0.000140 	NaN 	0.000630 	-0.001260 	-0.001440 	0.001280
25-Aug-2000 	-0.001810 	-0.004110 	0.000070 	0.000300 	-0.000220 	NaN 	0.000140 	-0.003130 	-0.003110 	-0.015910
01-Sep-2000 	-0.001040 	-0.001560 	-0.001130 	-0.000980 	-0.000810 	NaN 	-0.000750 	0.003730 	0.003210 	0.010260
08-Sep-2000 	0.000550 	0.000440 	0.002860 	0.001010 	0.000390 	NaN 	0.000610 	0.008950 	0.008780 	0.015520
15-Sep-2000 	0.000620 	0.000520 	0.005710 	-0.000330 	0.000530 	NaN 	-0.000330 	0.000880 	0.000870 	-0.002050
22-Sep-2000 	0.000910 	0.001370 	0.002180 	0.000280 	0.000670 	NaN 	0.000300 	-0.013520 	-0.012120 	-0.043600
29-Sep-2000 	0.001510 	0.002560 	0.004090 	-0.000060 	0.000850 	NaN 	-0.000040 	-0.009260 	-0.009220 	-0.016220
06-Oct-2000 	-0.000290 	-0.000950 	0.002770 	0.000230 	-0.000830 	NaN 	-0.000010 	-0.004300 	-0.004210 	-0.009840
13-Oct-2000 	-0.002610 	-0.004000 	-0.003820 	-0.002100 	-0.001930 	NaN 	-0.001470 	-0.018480 	-0.017910 	-0.033130
20-Oct-2000 	-0.001580 	-0.002720 	0.000360 	-0.000660 	-0.001410 	NaN 	-0.001100 	-0.013960 	-0.013210 	-0.030310
